	опыт работы	возраст	образование	язык	желаемая з/п	Последнее место работы	пол_Мужчина	волонтерство	полная	проектная	стажировка	частичная	регион_Москва	регион_Санкт-Петербург
80	16.0	37.0	0	0	45000.0	1.0	1	0	1	0	0	0	1	0
81	7.0	17.0	0	0	10.0	1.0	1	0	1	0	0	0	1	0
82	15.0	36.0	1	1	80000.0	1.0	1	0	1	0	0	1	1	0
83	24.0	40.0	1	0	91630.0	1.0	1	0	1	0	0	0	0	1
84	17.0	41.0	1	0	183260.0	1.0	1	0	1	0	0	1	0	0
85	9.0		1	0	290000.0	1.0	1	0	1	1	0	1	0	0
86	15.0	45.0	1	0	25000.0	1.0	1	0	1	0	0	0	0	0
87	8.0	35.0	1	1	160000.0	1.0	0	0	1	1	1	1	0	0
88	27.0	50.0	1	1	230000.0	1.0	1	0	1	0	0	1	0	0
89	24.0	40.0	1	0	65000.0	1.0	1	0	0	1	0	1	0	0
90	11.0	31.0	1	0	30000.0	1.0	1	0	1	0	0	1	0	0
91	23.0	40.0	1	1	70000.0	1.0	1	0	0	0	0	1	0	0
92	4.0	26.0	0	0	260000.0	1.0	1	0	1	0	0	0	1	0
93	27.0	59.0	1	0	100000.0	1.0	1	0	1	0	0	0	1	0
94	13.0	34.0	1	0	23000.0	1.0	1	0	1	0	0	0	0	0
95	14.0	33.0	1	1	75000.0	1.0	1	0	1	1	0	1	1	0
96	8.0	30.0	1	0	180000.0	1.0	1	0	1	0	0	1	0	0
97	6.0	29.0	1	1	30000.0	1.0	1	0	1	0	0	0	0	0
98	9.0	28.0	0	0	25000.0	1.0	1	0	1	0	0	0	0	0
99	9.0	30.0	0	0	824670.0	1.0	1	0	1	1	0	0	0	1
100	6.0	28.0	0	0	30000.0	1.0	1	0	1	0	0	0	0	0
101	8.0	30.0	0	1	60000.0	1.0	1	0	1	0	0	1	0	0
102	2.0	24.0	1	0	80000.0	1.0	1	0	1	0	0	0	0	0
103	1.0	56.0	1	0	40000.0	1.0	1	0	0	1	1	1	1	0
104	9.0	33.0	1	1	30000.0	1.0	1	0	1	0	0	0	0	0
105	1.0		0	0	90000.0	1.0	1	0	1	0	0	0	0	0
106	20.0	40.0	0	1	256564.0	1.0	1	0	1	1	0	1	0	1
107	18.0	36.0	1	0	98730.0	1.0	0	0	1	0	0	0	0	0
108	10.0	29.0	0	1	140000.0	1.0	1	0	1	0	0	1	0	0
109	6.0	39.0	1	0	10000.0	1.0	1	0	1	0	0	0	0	0
110	22.0	46.0	1	1	60000.0	1.0	1	0	1	0	0	0	0	0
111	23.0	57.0	1	0	150000.0	1.0	1	0	1	0	0	0	0	0
112	14.0		1	0	80000.0	1.0	1	0	1	0	0	0	1	0
113	2.0	22.0	0	1	90000.0	0.0	1	0	1	1	1	1	0	0
114	1.0	26.0	1	0	60000.0	0.0	1	0	1	0	0	0	0	1
115	7.0	29.0	1	0	100000.0	1.0	1	0	1	1	1	1	0	0
116	19.0	41.0	1	1	150000.0	1.0	1	0	1	1	0	1	0	0
117	19.0	54.0	1	0	70000.0	1.0	1	0	1	0	0	0	1	0
118	12.0	33.0	1	0	28000.0	1.0	1	0	1	0	0	0	0	0
119	8.0	38.0	0	0	36652.0	1.0	1	0	1	1	0	1	0	0
120	16.0	35.0	1	1	30000.0	1.0	1	0	1	0	0	0	0	0
